Artist,Song,Wave,Year,Lyrics,Original Lyrics,,
Devon Cole ,W.I.T.C.H.,3,2023,"[Verse]
Rumor on the street is that her apples are delicious
The jury says she's charming but her exes say she's wicked
I swear to God I saw her howlin' at the sky
She ain't out to get you but she's better on your side

[Chorus]
And she don't wanna be anybody else
She's a woman in total control of herself
It's such a wonder to be under her spell
What a woman in total control of herself

[Verse]
Villainous, kitty queen, she's got tricks up her sleeve
And I got a few up mine, she said
""Am I bad to the bonе, 'cause I get what I want?""
Mama said it ain't no crime
(scrеam)

[Chorus]
She don't wanna be anybody else
She's a woman in total control of herself
It's such a wonder to be under her spell
What a woman in total control of herself
La-la, la-la-la-la-la
Woman in total control of herself
La-la, la-la-la-la-la
Woman in total control of herself
 [Bridge]
Come out and play, it's fun in the dark
Tell me why you so scared of a woman in charge?
Baby don't run, you're breakin' my heart
Tell me why you so scared of a woman in charge?

[Chorus]
She don't wanna be anybody else
She's a woman in total control of herself
It's such a wonder to be under her spell
What a woman, what a woman, woman, yeah

[Outro]
She don't wanna be anybody else
(La-la, la-la-la-la-la)
She's a woman in total control of herself
It's such a wonder to be under her spell
(La-la, la-la-la-la-la)
What a woman, in total control of herself",,,
Lizzo ,Truth Hurts ,3,2019,"[Verse 1]
I just took a DNA test, turns out I'm 100% that bitch
Even when I'm crying crazy
Yeah, I got boy problems, that's the human in me
Bling bling, then I solve 'em, that's the goddess in me
You coulda had a bad bitch, non-committal
Help you with your career just a little
You're 'posed to hold me down, but you're holding me back
And that's the sound of me not calling you back

[Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

[Verse 2]
You tried to break my heart?
Oh, that breaks my heart
That you thought you ever had it
No, you ain't from the start
Hey, I'm glad you're back with your bitch
I mean, who would wanna hide this?
I will never, ever, ever, ever, ever be your side chick
I put the sing in single
Ain't worried 'bout a ring on my finger
So you can tell your friend, ""Shoot your shot"" when you see him
It's okay, he already in my DMs
 [Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)

[Bridge]
I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay
I'ma hit you back in a minute (Yeah, yeah)
I don't play tag, bitch, I been it (One time)
We don't fuck with lies (Two times), we don't do goodbyes (Woo)
We just keep it pushing like ay-ay-ay (Woo)

[Chorus]
Why men great 'til they gotta be great? ('Til they gotta be great)
Don't text me, tell it straight to my face (Tell it straight to my face)
Best friend sat me down in the salon chair (Down in the salon chair)
Shampoo press, get you out of my hair
Fresh photos with the bomb lighting (With the bomb lighting)
New man on the Minnesota Vikings (Minnesota Vikings)
Truth hurts, needed something more exciting (Yee)
Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah)
[Outro]
With the bomb lighting
Minnesota Vikings
Yee, eh, yeah, yeah, yeah",,,
Meredith Brooks ,Bitch ,3,1997,"[Verse 1]
I hate the world today
You're so good to me, I know, but I can't change
Tried to tell you but you look at me like maybe
I'm an angel underneath
Innocent and sweet

[Verse 2]
Yesterday I cried
You must have been relieved to see the softer side
I can understand how you'd be so confused
I don't envy you
I'm a little bit of everything all rolled into one

[Chorus]
I'm a bitch, I'm a lover
I'm a child, I'm a mother
I'm a sinner, I'm a saint
I do not feel ashamed
I'm your Hell, I'm your dream
I'm nothing in between
You know you wouldn't want it any other way

[Verse 3]
So take me as I am
This may mean you'll have to be a stronger man
Rest assured that when I start to make you nervous
And I'm going to extremes
Tomorrow I will change and today won't mean a thing
 [Chorus]
I'm a bitch, I'm a lover
I'm a child, I'm a mother
I'm a sinner, I'm a saint
I do not feel ashamed
I'm your Hell, I'm your dream
I'm nothing in between
You know you wouldn't want it any other way

[Bridge]
Just when you think you got me figured out
The season's already changing
I think it's cool, you do what you do
And don't try to save me

[Chorus]
I'm a bitch, I'm a lover
I'm a child, I'm a mother
I'm a sinner, I'm a saint
I do not feel ashamed
I'm your Hell, I'm your dream
I'm nothing in between
You know you wouldn't want it any other way

[Chorus 2]
I'm a bitch, I'm a tease
I'm a goddess on my knees
When you hurt, when you suffer
I'm your angel undercover
I've been numb, I'm revived
Can't say I'm not alive
You know I wouldn't want it any other way",,,
Meghan Trainor,NO,3,2016,"[Intro]
I think it's so cute and I think it's so sweet
How you let your friends encourage you to try and talk to me
But let me stop you there, oh, before you speak
Nah to the ah to the no, no, no

[Chorus]
My name is no, my sign is no
My number is no, uh, you need to let it go, uh
You need to let it go, uh, need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no (Woo)
My number is no, you need to let it go, uh
You need to let it go, uh, need to let it go, uh
Nah to the ah to the no, no, no

[Verse 1]
First you gonna say you ain't runnin' game
Thinkin' I'm believing every word
Call me beautiful, so original
Telling me I'm not like other girls

[Refrain]
I was in my zone before you came along
Now I'm thinking maybe you should go
Blah, blah, blah, I be like
Nah to the ah to the no, no, no
[Pre-Chorus]
All my ladies, listen up
If that boy ain't giving up
Lick your lips and swing your hips
Girl, all you gotta say is

[Chorus]
My name is no, my sign is no
My number is no, uh, you need to let it go, uh
You need to let it go, uh, need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no (Woo)
My number is no, you need to let it go
You need to let it go, need to let it go
Nah to the ah to the no, no, no

[Verse 2]
Thank you in advance, I don't wanna dance (Nope)
I don't need your hands all over me (No, no)
If I want a man, then I'ma get a man
But it's never my priority (Hey)

[Refrain]
I was in my zone before you came along
Don't want you to take this personal
Blah, blah, blah, I be like
Nah to the ah to the no, no, no
[Pre-Chorus]
All my ladies, listen up (All my ladies)
If that boy ain't giving up (Ain't giving' up)
Lick your lips and swing your hips (Hey, hey, let's go)
Girl, all you gotta say is (Woo)

[Chorus]
My name is no, my sign is no
My number is no, uh, you need to let it go, uh
You need to let it go, uh, need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no (Woo)
My number is no, you need to let it go
You need to let it go, need to let it go
Nah to the ah to the no, no, no

[Bridge]
I'm feelin' untouchable, untouchable
Uh, I'm feelin' untouchable, untouchable
I'm feelin' untouchable, untouchable
I'm feelin', nah to the ah to the no, no, no (Hey, hey, hey)
Feelin' untouchable, untouchable (I'm feelin')
Uh, I'm feelin' untouchable, untouchable (Untouchable)
I'm feelin' untouchable, untouchable
I'm feelin', nah to the ah to the no, no, no, hey
[Pre-Chorus]
All my ladies, listen up (Said, all my ladies)
If that boy ain't giving up (Ain't giving up)
Lick your lips and swing your hips (No, no)
Girl, all you gotta say is (No, no)

[Chorus]
My name is no (Hey), my sign is no
My number is no (Oh), uh, you need to let it go, uh
You need to let it go, uh, need to let it go, uh
Nah to the ah to the, no, no, no
My name is no, my sign is no (Woo)
My number is no, you need to let it go
You need to let it go (Babe), need to let it go
Nah to the ah to the no, no, no

[Outro]
I'm feelin' untouchable, untouchable (I'm untouchable, babe)
Uh, I'm feelin' untouchable, untouchable (Go away, baby)
I'm feelin' untouchable, untouchable (Untouchable)
I'm feelin', nah to the ah to the no, no, no (Ah, ah to the no, no, no, no)",,,
Bella Poarch,Build a Bitch,3,2021,"[Chorus]
This ain't Build a Bitch (A bitch)
You don't get to pick and choose
Different ass and bigger boobs
If my eyes are brown or blue
This ain't Build a Bitch (A bitch)
I'm filled with flaws and attitude
So if you need perfect, I'm not built for you (Yeah)

[Verse 1]
Bob the Builder broke my heart
Told me I need fixing
Said that I'm just nuts and bolts
Lotta parts were missing
Curvy like a cursive font
Virgin and a vixen
That's the kind of girl he wants
But he forgot

[Chorus]
This ain't Build a Bitch (A bitch)
You don't get to pick and choose
Different ass and bigger boobs
If my eyes are brown or blue
This ain't Build a Bitch (A bitch)
I'm filled with flaws and attitude
So if you need perfect, I'm not built for you (One, two, three, ooh)
 [Post-Chorus]
La-la-la-la-la-la-la-la-la-la-la
La-la-la-la-la-la-la-la-la-la-la

[Verse 2]
Boys are always playing dolls
Looking for thеir Barbie
They don't look like Kеn at all
Hardly have a heartbeat
Need someone who falls apart
So he can play Prince Charming
If that's the kind of girl he wants
Then he forgot

[Chorus]
This ain't Build a Bitch (A bitch)
You don't get to pick and choose
Different ass and bigger boobs
If my eyes are brown or blue
This ain't Build a Bitch (A bitch)
I'm filled with flaws and attitude
So if you need perfect, I'm not built for you (One, two, three)

[Post-Chorus]
La-la-la-la-la-la-la-la-la-la-la
La-la-la-la-la-la-la-la-la-la-la
La-la-la-la-la-la-la-la, la-la-la-la-la-la-la",,,
Billie Eilish ,Happier than Ever,3,2021,"s[Chorus]
When I'm away from you
I'm happier than ever
Wish I could explain it better
I wish it wasn't true

[Verse 1]
Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mm
Do you read my interviews?
Or do you skip my avenue?
When you said you were passin' through
Was I even on your way?
I knew when I asked you to (When I asked you to)
Be cool about what I was tellin' you
You'd do the opposite of what you said you'd do (What you said you'd do)
And I'd end up more afraid
Don't say it isn't fair
You clearly werеn't aware that you made me misеrable
So if you really wanna know

[Chorus]
When I'm away from you (When I'm away from you)
I'm happier than ever (Happier than ever)
Wish I could explain it better (Wish I could explain it better)
I wish it wasn't true, mm-mm
[Verse 2]
You call me again, drunk in your Benz
Drivin' home under the influence
You scared me to death, but I'm wastin' my breath
'Cause you only listen to your fuckin' friends
I don't relate to you
I don't relate to you, no
'Cause I'd never treat me this shitty
You made me hate this city

[Verse 3]
And I don't talk shit about you on the internet
Never told anyone anything bad
'Cause that shit's embarrassing, you were my everything
And all that you did was make me fuckin' sad
So don't waste the time I don't have
And don't try to make me feel bad
I could talk about every time that you showed up on time
But I'd have an empty line 'cause you never did
Never paid any mind to my mother or friends, so I
Shut 'em all out for you 'cause I was a kid

[Outro]
You ruined everything good
Always said you were misunderstood
Made all my moments your own
Just fuckin' leave me alone, yeah (Fuck you)
(Ah)
(Goddamn)
(Ah)
(Fuck you)
(Fuck you)",,,
"Eurythmics, Arena Franklin",Sisters Are Doin' It for Themselves,2,1985,"[Verse 1: Annie Lennox & Aretha Franklin, Both]
Now there was a time
When they used to say
That behind every ""great man""
There had to be a ""great woman""
But in these times of change
You know that it's no longer true
So we're coming out of the kitchen
'Cause there's something we forgot to say to you (we say)

[Chorus: Annie Lennox & Aretha Franklin]
Sisters are doing it for themselves
Standing on their own two feet
And ringing on their own bells
Sisters are doing it for themselves

[Verse 2: Annie Lennox & Aretha Franklin, Both]
Now this is a song to celebrate
The conscious liberation of the female state
Mothers, daughters and their daughters too, yeah
Woman to woman
We're singing with you
The ""inferior sex"" got a new exterior (yeah)
We got doctors, lawyers, politicians too - oo
Everybody, take a look around
Can you see? Can you see? Can you see?
There's a woman right next to you
 [Chorus: Annie Lennox & Aretha Franklin]
Sisters are doing it for themselves (oh yes we are)
Standing on their own two feet
And ringing on their own bells
Sisters are doing it for themselves

[Bridge: Annie Lennox & Aretha Franklin, Both]
Now we ain't making stories
And we ain't laying plans
'Cause a man still loves a woman
And a woman still loves a man
(Just the same though)

[Instrumental]

[Refrain: Annie Lennox & Aretha Franklin]
Sisters are doing it for themselves

[Verse 3: Annie Lennox & Aretha Franklin, Both]
There was a time
When they used to say
That behind every great man
There had to be a great woman
But in these times of change
You know that it's no longer true
So we're coming out of the kitchen
'Cause there's something we forgot to say to you (we say)
[Chorus: Annie Lennox & Aretha Franklin]
Sister are doing it for themselves
Standing on their own two feet
And ringing on their own bells
Sisters are doing it for themselves

Sisters are doing it for themselves
Sisters are doing it for themselves (yeah, yeah)
Sisters are doing it, doing it for themselves (doing it, doing it)
Sisters are doing it for themselves

Sister are doing it for themselves
Standing on their own two feet
And ringing on their own bells
Sisters are doing it for themselves

Sister are doing it for themselves
Standing on their own two feet
And ringing on their own bells
Sisters are doing it for themselves

[Spoken]
Thank you, I'll get it myself",,,
Mary Chapin Carpenter,He Thinks He'll Keep Her,2,1992,"[Verse 1]
She makes his coffee, she makes his bed
She does the laundry, she keeps him fed
When she was twenty-one she wore her mother's lace
She said ""forever"" with a smile upon her face
She does the carpool, she PTAs
Doctors and dentists, she drives all day
When she was twenty-nine she delivered number three
And every Christmas card showed a perfect family

[Chorus]
Everything runs right on time
Years of practice and design
Spit and polish 'til it shines
He thinks he'll keep her
Everything is so benign
Safest place you'll ever find
God forbid you change your mind
He thinks he'll keep her

[Verse 2]
She packs his suitcase, she sits and waits
With no expression upon her face
When she was thirty-six she met him at their door
She said ""I'm sorry, I don't love you anymore""
 [Chorus]
Everything runs right on time
Years of practice and design
Spit and polish 'til it shines
He thinks he'll keep her
Everything is so benign
Safest place you'll ever find
God forbid you change your mind
He thinks he'll keep her

[Bridge]
For fifteen years she had a job and not one raise in pay
Now she's in the typing pool at minimum wage

[Chorus]
Everything runs right on time
Years of practice and design
Spit and polish 'til it shines
He thinks he'll keep her
Everything is so benign
The safest place you'll ever find
At least until you change your mind
He thinks he'll keep her, all rightEmbed
",,,
Bessie Smith,Sam Jones Blues,1,1923,"Lyrics(Spoken: Who's that knockin' on that door? Jones? 
You better get away from that door. I don't know nobody named Jones. 
You're in the right church, brother, but the wrong pew)

Sam Jones left his lawf'ly wife, just to step around
Came back home, 'bout a year
Took it for his high brown
Went to his accustomed shore
And he knocked his knuckles sore
His wife she came, but to his shame
She knew his face no more

Sam said, ""I'm your husband, dear""
But she said, ""Dear, that's strange to hear""
You ain't talkin' to Mrs. Jones
You speakin' to Miss Wilson now
I used to be your lawf'ly mate
But the judge done changed my fate

Was a time you could-a' walked right in
And call this place your home sweet home
But now it's all mine, for all time
I'm free and livin' all alone
Don't need your clothes, don't need your rent
Don't need your ones and twos
Though I ain't rich, I know my stitch
I earned my strutting shoes
Say, hand me the key that unlocks my front door
Because that bell don't read Sam Jones no more, no
You ain't talkin' to Mrs. Jones
You speakin' to Miss Wilson nowY",,,
The Stone Poneys,Different Drum,2,1967,"You and I
Travel to the beat of a different drum
Oh, can't you tell by the way I run
Every time you make eyes at me
Whoa

You cry and moan and say
It will work out
But honey child, I've got my doubts
You can't see the forest for the trees

So don't get me wrong
It's not that I knock it
It's just that I
Am not in the market
For a boy who wants
To love only me

Yes, and I ain't sayin'
You ain't pretty
All I'm saying, I'm not ready
For any person, place or thing
To try and pull the reins
In on me

So goodbye, I'll be leavin'
I see no sense in this cryin' and grievin'
We'll both live a lot longer
If you live without me
 So don't get me wrong
It's not that I knock it
It's just that I
Am not in the market
For a boy who wants to love only me

Yes, and I ain't sayin'
You ain't pretty
All I'm sayin', I'm not ready
For any person, place or thing
To try and pull the reins
In on me

So goodbye, I'll be leavin'
I see no sense in this cryin' and grievin'
We'll both live a lot longer
If you live without me",,,
Alanis Morissette,You Oughta Know,2,1995,"[Verse 1]
I want you to know that I'm happy for you
I wish nothing but the best for you both
An older version of me, is she perverted like me?
Would she go down on you in a theatre?
Does she speak eloquently? And would she have your baby?
I'm sure she'd make a really excellent mother
[Pre-Chorus]
'Cause the love that you gave that we made
Wasn't able to make it enough for you to be open wide, no
And every time you speak her name
Does she know how you told me
You'd hold me until you died? 'Til you died
But you're still alive

[Chorus]
And I'm here to remind you
Of the mess you left when you went away
It's not fair to deny me
Of the cross I bear that you gave to me
You, you, you oughta know

[Verse 2]
You seem very well, things look peaceful
I'm not quite as well, I thought you should know
Did you forget about me Mr. Duplicity?
I hate to bug you in the middle of dinner
It was a slap in the face how quickly I was replaced
And are you thinkin' of me when you fuck her?

[Pre-Chorus]
'Cause the love that you gave that we made
Wasn't able to make it enough for you to be open wide, no
And every time you speak her name
Does she know how you told me
You'd hold me until you died? 'Til you died
But you're still alive

[Chorus]
And I'm here to remind you
Of the mess you left when you went away
It's not fair to deny me
Of the cross I bear that you gave to me
You, you, you oughta know

[Bridge]
'Cause the joke that you laid in the bed that was me
And I'm not gonna fade as soon as you close your eyes
And you know it
And every time I scratch my nails
Down someone else's back I hope you feel it
Well, can you feel it?

[Chorus]
Well, I'm here to remind you
Of the mess you left when you went away
It's not fair to deny me
Of the cross I bear that you gave to me
You, you, you oughta know
Why I'm here to remind you
Of the mess you left when you went away
It's not fair to deny me
Of the cross I bear that you gave to me
You, you, you oughta know",,,
"Barbra Streisand, Donna Summer",No More Tears (Enough Is Enough),2,1979,"[Streisand]
It's raining, it's pouring
My lovelife is boring me to tears
After all these years

[Summer]
No sunshine
No moonlight
No stardust
No sign of romance
We don't stand a chance

[Streisand]
I've always dreamed
I found the perfect lover
But he turned out to be
Like every other man
I've loved, I've loved

[Both]
Raining (raining)
Pouring (pouring)
There's nothing left for us here
And we won't waste another tear

[Summer]
If you've had enough
Don't put up with his stuff
Don't you do it
 [Streisand]
If you've had your fill
Get the check pay the bill
You can do it

[Summer]
Tell him to just get out

[Streisand]
Nothing left to talk about

[Summer]
Pack his raincoat show him out

[Both]
Just look him in the eye
And simply shout
Enough is enough
I can't go on
I can't go on
No more no
Enough is enough
I want him out
I want him out
That door now
Enough is enough
Enough is enough
That's enough

[Summer]
If you've reached the end
Don't pretend that is right
When it's over
(It's over)

[Streisand]
If the feeling is gone
Don't think twice
Just move on
Get it over
(Over, over)

[Both]
Tell him to just get out
Say it clearly
Spell it out
Enough is enough is enough
I can't go on
I can't go on
No more no
Enough is enough is enough
I want him out
I want him out
That door now
Enough is enough
Enough is enough
That's enough

[Streisand]
I've always dreamed
To find the perfect lover
But he turns out to be
Like every other man
I've loved
(I had no choice from the start)
I've loved
(I've gotta listen to my heart)
I've loved
(Tearing us apart)
I've loved
Enough is enough is enough
I can't go on
I can't go on
No more no
Enough is enough is enough
I want him out
I want him out
That door now

Enough is enough
Enough is enough
That's enough

[Both]
No more tears
(No more tears)
No more tears
(No more tears)
No more tears
(No more tears)
No more tears
(No more tears)
Enough is enough
Is enough is enough
Is enough is enough
I've had it
You've had it
He's had it
We've had is

[Summer]
I always dreamed
I find the perfect lover

[Streisand]
But he turned out to be
Like every other man

[Both]
I had no choice from the start
I've gotta listen to my heart
Tearing us apart
Enough is enough is enough
I can't go on
I can't go on
No more no
Enough is enough is enough
I want him out
I want him out
That door now

Goodbye mister
Goodbye, goodbye mister
Goodbye sugar

It's raining
It's pouring
There's nothing left
For us here
And we won't waist
Another tear
No more tears
Is enough is enough
Is enough is enough
Is enough is enough
Is enough is enough!",,,
Sleater-Kinner,#1 Must Have ,3,2000,"[Verse 1]
Bearer of the flag from the beginning
Now, who would have believed this riot girl's a cynic?
But they took our ideas to their marketing stars
And now I'm spending all my days at girlpower.com
Trying to buy back a little piece of me
(Everywhere you go they say
""Hello, weren't you the one that sold your soul?""
Everywhere you go they say
""Oh no, weren't you the one that let us go?"")

[Chorus]
And I think that I sometimes might have wished
For something more than to be a size six
But now my inspiration rests
In between my beauty magazines and my credit card bills

[Verse 2]
I've been crawling up so long on your stairway to heaven
And now I no longer believe that I wanna get in
And will there always be concerts where women are raped?
Watch me make up my mind instead of my face
The number one must have is that we are safe
(Everywhere you go, teenage is the rage
Inside your pants and on the front page
Everywhere you look, it's die or be born
If you can't decide, it's your own war)

[Chorus]
And I think that I sometimes must have wished
For something more than to be a size six
But now my inspiration rests
In between my beauty magazines and my credit card bills

[Bridge]
No more
No more
No more

[Outro]
And for all the ladies out there
I wish we could write more than the next marketing bid
Culture is what we make it, yes it is
Now is the time
Now is the time
Now is the time to invent
Invent, invent, invent
Invent",,,
Solange ,Don't Touch My Hair ,3,2016,"[Verse 1: Solange]
Don't touch my hair
When it's the feelings I wear
Don't touch my soul
When it's the rhythm I know
Don't touch my crown
They say the vision I've found
Don't touch what's there
When it's the feelings I wear

[Pre-Chorus: Solange]
They don't understand
What it means to me
Where we chose to go
Where we've been to know
They don't understand
What it means to me
Where we chose to go
Where we've been to know

[Chorus: Solange]
You know this hair is my shit
Rolled the rod, I gave it time
But this here is mine
You know this hair is my shit
Rolled the rod, I gave it time
But this here is mine

[Post-Chorus: Sampha & Both]
What you say, oh?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?

[Verse 2: Solange]
Don't touch my pride
They say the glory's all mine
Don't test my mouth
They say the truth is my sound

[Pre-Chorus: Solange]
They don't understand
What it means to me
Where we chose to go
Where we've been to know
They don't understand
What it means to me
Where we chose to go
Where we've been to know
[Chorus: Solange]
You know this hair is my shit
Rolled the rod, I gave it time
But this here is mine
You know this hair is my shit
Rolled the rod, I gave it time
But this here is mine

[Post-Chorus: Sampha & Both]
What you say, oh?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?

[Instrumental Break]

[Outro: Both]
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?
What you say to me?",,,
David Edelstadt,Arbeiter Froyen ,1,1891,"Women workers, women in suffering
Women who languish in the home and at the factory, why do you support such occupations,
Why don’t you help us to build a temple to liberty, to human happiness?
Help us and raise the world from its poverty and to realise all that we want.
Let’s struggle together like powerful lions,
For liberty, for liberty, for our ideal.",,,
Aretha Franklin,"Do Right Woman, Do Right Man",2,1967,"[Verse 1]
Take me to heart, and I'll always love you
And nobody can make me do wrong
Take me for granted, leaving love unshown
Makes willpower weak and temptation strong

[Pre-Chorus]
A woman's only human
You should understand
She's not just a plaything
She's flesh and blood just like her man

[Chorus]
If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Do right, do right, do right, do right man, man)

[Bridge]
Yeah, yeah, they say that it's a man's world
But you can't prove that by me
And as long as we're together, baby
Show some respect for me

[Chorus]
If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Do right, do right, do right, do right man, man)
 [Pre-Chorus]
A woman's only human
You should understand
She's not just a plaything
She's flesh and blood just like her man

[Chorus]
If you want a do right, home days woman
(Do right, do right, do right, do right woman)
You've got to be a do right, home nights man
(Why don't you? Why don't you? Why don't you? Why don't you?)
You got to be a do right, home nights man",,,
Charlotte Perkins Gilman,Another Star,1,1911,"There are five a-light before us,
In the flag flying o'er us,
There'll be six on next election–
      We bring a new star!
We are coming like the others,
Free Sisters, Free Brothers,
In the pride of our affection
      For California.
CHORUS: A ballot for the Lady!
For the Home and for the Baby!
Come, vote ye for the Lady,
      The Baby, the Home!

Star of Hope and Star of Beauty!
Of Freedom! Of Duty!
Star of childhood's new protection,
      That rises so high!
We will work for it together
In the golden, gay weather,
And we'll have it next election,
      Or we will know why.
CHORUS: A ballot for the Lady!
For the Home and for the Baby!
Come, vote ye for the Lady,
      The Baby, the Home!",,,
Margie Adams,We Shall Go Forth,2,1983,"We shall go forth from this place
Proud of the things we’ve done
Sharing the things we’ve won
We shall not fail. We shall go forth from this place
Willing to open wide
Sharing the light inside
We shall not fail.

Bringing together all we know
For others who are struggling alone
Bringing together all we are
Offering those who want to find us
A way to find us
A way to see

We shall go forth from this place
Taking with us the pride
Of knowing we can decide
We shall not fail
We shall go forth, we shall go forth
We shall go forth!",,,
Alicia Keys,Girl on Fire,3,2012,"[Verse 1]
She's just a girl and she's on fire
Hotter than a fantasy
Lonely like a highway
She's livin' in a world and it's on fire
Filled with catastrophe
But she knows she can fly away

[Pre-Chorus]
Oh-oh, she got both feet on the ground
And she's burnin' it down
Oh-oh, she got her head in the clouds
And she's not backin' down

[Chorus]
This girl is on fire
This girl is on fire
She's walkin' on fire
This girl is on fire

[Verse 2]
Looks like a girl, but she's a flame
So bright, she can burn your eyes
Better look the other way
You can try, but you'll never forget her name
She's on top of the world
Hottest of the hottest girls, say
 [Pre-Chorus]
Oh-oh, we got our feet on the ground
And we're burnin' it down
Oh-oh, got our head in the clouds
And we're not comin' down

[Chorus]
This girl is on fire (Fire, fire)
This girl is on fire
She's walkin' on fire (Fire, fire)
This girl is on fire

[Bridge]
(Oh) Everybody stares as she goes by
'Cause they can see the flame that's in her eyes
Watch her when she's lightin' up the night
Nobody knows that she's a lonely girl
And it's a lonely world
But she gon' let it burn, baby, burn, baby

[Chorus]
This girl is on fire (Fire, fire)
This girl is on fire
She's walkin' on fire (Fire, fire)
This girl is on fire
[Post-Chorus]
Oh-oh, oh, oh
Oh-oh, oh, oh
Oh-oh, oh, oh
Oh-oh, oh, oh

[Outro]
She's just a girl and she's on fire",,,
Bikini Kill,Rebel Girl,3,1993,"[Verse 1]
That girl thinks she's the queen of the neighborhood
She's got the hottest trike in town
That girl, she holds her head up so high
I think I wanna be her best friend, yeah

[Chorus]
Rebel girl, rebel girl
Rebel girl you are the queen of my world
Rebel girl, rebel girl
I think I wanna take you home, I wanna try on your clothes, uh

[Verse 2]
When she talks, I hear the revolution
In her hips, there's revolution
When she walks, the revolution's coming
In her kiss, I taste the revolution

[Chorus]
Rebel girl, rebel girl
Rebel girl you are the queen of my world
Rebel girl, rebel girl
I know I wanna take you home, I wanna try on your clothes, uh

[Verse 3]
That girl thinks she's the queen of the neighborhood
I got news for you, she is
They say she's a dyke, but I know
She is my best friend, yeah

[Chorus]
Rebel girl, rebel girl
Rebel girl you are the queen of my world
Rebel girl, rebel girl
I know I wanna take you home, I wanna try on your clothes

[Outro]
Love you like a sister always
Soul sister, rebel girl
Come and be my best friend
Will you, rebel girl?
I really like you
I really wanna be
Your best friend
Be my rebel girl",,,
Adella Hunt Logan,Just As Well as He,1,1912,"If a body pays the taxes,
Surely you'll agree,
That a body earns the franchise
Whether he or she...

Every man now has the ballot;
None you know have we,
But we have brains and we can use them
Just as well as he.

If a home that has a father
Needs a mother too,
Then every state has men voters
Needs its women too.",,,
Ruth Etting,"Tomorrow, Who Cares? (A Woman's Choice)",1,1934,NODATA ,,,
Alice Gerrard ,Don't Put Her Down You Helped Put Her There,2,1973,"[Verse 1: Hazel Dickens]
You pull the string, she's your plaything
You can make her or break her, it's true
You abuse her, accuse her, turn around and use her
Then forsake her anytime it suits you

[Chorus: Hazel Dickens & Alice Gerrard]
Well, there's more to her than powder and paint
Than her peroxided, bleached-out hair
Well, if she acts that way, it's 'cause you've had your day
Don't put her down, you helped put her there

[Verse 2: Hazel Dickens]
She hangs around, playin' the clown
While her soul is aching insidе
She's heartbreak's child 'causе she just lives for your smile
To build her up in a world made by men

[Chorus: Hazel Dickens & Alice Gerrard]
Well, there's more to her than powder and paint
Than her peroxided, bleached-out hair
Well, if she acts that way, it's 'cause you've had your day
Don't put her down, you helped put her there

[Verse 3: Hazel Dickens]
At the house down the way, you sneak and you pay
For her love, her body, her shame
Then you call yourself a man, you say you just don't understand
How a woman could turn out that way
 [Chorus: Hazel Dickens & Alice Gerrard]
Well, there's more to her than powder and paint
Than the men she picks up at the bar
Well, if she acts that way, it's 'cause you've had your day
Don't put her down, you helped put her there
Well, if she acts that way, it's 'cause you've had your day
Don't put her down, you helped put her there",,,
